file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_listening_room_c,Listening Room C,Listening-Rm-C,listening_room_c,600,562,700,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1eGmXx8xB_oqd9ORvoAeVrwhirczJJ0RY/view?usp=drive_link,-2.3,100,9,No,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
reverberation_dataset_listening_room_d,Listening Room D,Listening-Rm-D,listening_room_d,400,312,600,Yes,est_bin,1.0.5,https://drive.google.com/file/d/10ighC8UXZ2p0tr9659Gonp5EYXBhrZkJ/view?usp=drive_link,-2.3,100,9,Yes,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
reverberation_dataset_listening_room_e,Listening Room E,Listening-Rm-E,listening_room_e,800,824,900,Yes,est_bin,1.0.5,https://drive.google.com/file/d/15ISg6YT77kye985qy52eCY5Pj_y5rWKy/view?usp=drive_link,-2.3,100,9,No,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
reverberation_dataset_listening_room_f,Listening Room F,Listening-Rm-F,listening_room_f,800,771,900,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1YatPSXZjgAJfIqZ7kkEaSuT_rP9MPM-c/view?usp=drive_link,-2.3,100,9,No,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
reverberation_dataset_listening_room_g,Listening Room G,Listening-Rm-G,listening_room_g,300,233,500,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1oyGepDDo3Qvxw0Tg9lqqE16KASGeKapc/view?usp=drive_link,-2.3,100,9,Yes,max,1,ITU-R BS.1116 conform listening room,,A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations,"L. Treybig, F. Klein, G. Stolzand S. Werner, ‘A high spatial resolution dataset of spatial room impulse responses for different acoustic room configurations’. Zenodo, Jan. 02, 2024. doi: 10.5281/zenodo.10450779.",https://doi.org/10.5281/zenodo.10450779,Yes,No,No
reverberation_dataset_office_a,Office A,Office-A,office_a,400,408,520,Yes,est_bin,1.0.1,https://drive.google.com/file/d/1F5c_9c1OYnWv8RyRG5vUh1azSO8fQ8gj/view?usp=drive_link,-1.6,125,9,No,max,0,Office at Aalto University campus ,,A dataset of measured spatial room impulse responses for the transition between coupled rooms,"Thomas McKenzie, Sebastian Schlechtand Ville Pulkki, ‘A dataset of measured spatial room impulse responses for the transition between coupled rooms’. Zenodo, Apr. 20, 2023. doi: 10.5281/zenodo.7848561.",https://doi.org/10.5281/zenodo.7848561,No,Yes,No
reverberation_dataset_office_b,Office B,Office-B,office_b,500,496,600,Yes,est_bin,1.0.1,https://drive.google.com/file/d/14YR5cT8_ekpnZA3755uePWulWzCN97x-/view?usp=drive_link,-1.6,125,9,No,max,0,Office at Aalto University campus ,,A dataset of measured spatial room impulse responses for the transition between coupled rooms,"Thomas McKenzie, Sebastian Schlechtand Ville Pulkki, ‘A dataset of measured spatial room impulse responses for the transition between coupled rooms’. Zenodo, Apr. 20, 2023. doi: 10.5281/zenodo.7848561.",https://doi.org/10.5281/zenodo.7848561,No,Yes,No
reverberation_dataset_outdoors_a,Outdoors A,Outdoors-A,outdoors_a,2600,1935,0,No,est_bin,1.0.2,https://drive.google.com/file/d/1HyXeeDXMS4hBeahEMJ7QtE6iVeRrDx2C/view?usp=drive_link,-2.9,110,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,No
reverberation_dataset_outdoors_b,Outdoors B,Outdoors-B,outdoors_b,1300,1183,0,Yes,est_bin,1.0.1,https://drive.google.com/file/d/1RrD8JZAhvXjW-JKBW7qsYeA0C1LW5cFI/view?usp=drive_link,-2,100,8,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,No
reverberation_dataset_seminar_room_a,Seminar Room A,Seminar-Rm-A,seminar_room_a,900,839,1100,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1zKk96T7KPe_Z9m5MCX9s2E3bfMcylLYZ/view?usp=drive_link,-2,115,9,No,max,0,Seminar Room at Technische Universität Ilmenau ,,A dataset of measured spatial room impulse responses in different rooms including visualization,"F. Klein, ‘A dataset of measured spatial room impulse responses in different rooms including visualization’. Zenodo, May 16, 2022. doi: 10.5281/zenodo.6541444.",,Yes,No,No
