file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,alternative_link,ghub_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_small_room_b,Small Room B,Small-Rm-B,small_room_b,500,467,0,Yes,est_bin,1.0.6,https://drive.google.com/file/d/1ocsx5RxiCUv7rYybs5F8Je3L1n1FN8Ol/view?usp=drive_link,https://drive.google.com/file/d/1LG0ApvK_HC_77On-KbmHp8-9UPgOD4Qz/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_small_room_b.npy,-2.3,110,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_room_c,Small Room C,Small-Rm-C,small_room_c,500,476,0,Yes,est_bin,1.0.6,https://drive.google.com/file/d/1VbYdiwMQy24ec3XSsaFXQ6nCNee3HmRa/view?usp=drive_link,https://drive.google.com/file/d/1W9dyBA_s1H3bwQw5AUtwEyzbZyQLrkz0/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_small_room_c.npy,-2.3,110,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_theatre_a,Small Theatre,Small-Theatre,small_theatre_a,1000,950,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1jKpgb5_99L1hLojhQ6PaFp8-tgTG8nQg/view?usp=drive_link,https://drive.google.com/file/d/1VIjC7ePoIEbu7LCeb5g96a4zDCgvs87_/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_small_theatre_a.npy,-2.1,100,9,No,max,1,The Dixon Studio Theatre University of York,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_smoking_room_a,Smoking Room,Smoking-Rm,smoking_room_a,700,654,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1kU3k4iKiH1locfgNDECZUeY_0pGrJ9kV/view?usp=drive_link,https://drive.google.com/file/d/1Ipy4FFywQzjCYGjMPFQsjsvy0wNI5bql/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_smoking_room_a.npy,-2.1,90,9,No,max,1,Elveden Hall (Suffolk England),,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_stairway_a,Stairway,Stairway,stairway_a,900,876,0,Yes,est_bin,1.0.0,https://drive.google.com/file/d/1kD6Q0GCrRj7HnZ70f6-4C4lm2-_ZKYQ9/view?usp=drive_link,https://drive.google.com/file/d/1a-WgEmsRfM_TPb_DksiKVLA_ESVibYif/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_stairway_a.npy,-3.3,100,9,Yes,max,0,Stairway and Corridor at RWTH Aachen University,,The Aachen Impulse Response (AIR) database,"Marco Jeub, Magnus Schäfer, and Peter Vary, A Binaural Room Impulse Response Database for the Evaluation of Dereverberation Algorithms, Proceedings of International Conference on Digital Signal Processing (DSP), July 2009",https://www.iks.rwth-aachen.de/en/research/tools-downloads/databases/aachen-impulse-response-database/,No,Yes,No
reverberation_dataset_studio_a,Studio A,Studio-A,studio_a,400,398,550,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1mkWRSBRbpghakjFXHuVJMaZmKS5i6_tj/view?usp=drive_link,https://drive.google.com/file/d/1R0AVwHJqvPwuaAhiwvO904mGHepCjg9W/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_studio_a.npy,-2.1,115,9,No,max,0,Studio live room ,Derived from rooms MV4 and MV5,BBC Maida Vale Impulse Response Dataset ,"Gavin Kearney, ‘BBC Maida Vale Impulse Response Dataset’, Acoustics, vol. 4, no. 3. Zenodo, pp. 783–799, Oct. 19, 2023. doi: 10.5281/zenodo.10020866.",,No,No,No
reverberation_dataset_studio_b,Studio B,Studio-B,studio_b,400,351,550,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1OQ4ZqPq4LzJxCEskfBa-YZ_yW41Zo6K-/view?usp=drive_link,https://drive.google.com/file/d/11lEjI9my7_cZ5ciW4v-X1Q_sESCuk1N7/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_studio_b.npy,-2.1,90,9,No,max,1,Studio live room ,Derived from rooms MV4 and MV5,BBC Maida Vale Impulse Response Dataset ,"Gavin Kearney, ‘BBC Maida Vale Impulse Response Dataset’, Acoustics, vol. 4, no. 3. Zenodo, pp. 783–799, Oct. 19, 2023. doi: 10.5281/zenodo.10020866.",,No,No,No
reverberation_dataset_studio_c,Studio C,Studio-C,studio_c,800,723,900,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1Us5amK8VFz5Oe5PTiI_-pUgcrDAenwh4/view?usp=drive_link,https://drive.google.com/file/d/1xhyzsSYR0twwcVh8v9QqAq6EIRjOC0QO/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_studio_c.npy,-2.6,115,9,No,max,0,Recording studio at the Australian National University (ANU) ,,RSoANU: RIR Dataset ,"G. Chesworth, A. Bastineand T. Abhayapala, ‘RSoANU: RIR Dataset’. Zenodo, 2024. doi: 10.5281/zenodo.10720345. ",,No,No,No
reverberation_dataset_studio_d,Studio D,Studio-D,studio_d,800,739,900,Yes,est_bin,1.0.5,https://drive.google.com/file/d/186rcLa7yleQttCUzBq2BVlQOFWs3-tHH/view?usp=drive_link,https://drive.google.com/file/d/1iT6iqTq7UaxZSCr4ZP5_GNd8FafwwnpT/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_studio_d.npy,-2.6,100,9,No,max,1,Recording studio at the Australian National University (ANU) ,,RSoANU: RIR Dataset ,"G. Chesworth, A. Bastineand T. Abhayapala, ‘RSoANU: RIR Dataset’. Zenodo, 2024. doi: 10.5281/zenodo.10720345. ",,No,No,No
reverberation_dataset_tatami_room_a,Tatami Room,Tatami-Rm,tatami_room_a,550,513,700,Yes,est_bin,1.0.3,https://drive.google.com/file/d/1Tao4rYLy3FGKT4t5kfITRZFIpVFH8vKZ/view?usp=drive_link,https://drive.google.com/file/d/1K9gknfj6Gmp8q6X2yxJORxaTYS4Gakxe/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_tatami_room_a.npy,-2.3,120,10,Yes,max,0,Japanese Tatami Room,,RWCP Real Environment Speech and Acoustic Database (RWCP-SSD).,"Real World Computing Partnership (2007): RWCP Real Environment Speech and Acoustic Database (RWCP-SSD). Speech Resources Consortium, National Institute of Informatics. (dataset). https://doi.org/10.32130/src.RWCP-SSD",https://doi.org/10.32130/src.RWCP-SSD,Yes,No,No
reverberation_dataset_tennis_court_a,Tennis Court A,Tennis-Court-A,tennis_court_a,1400,1432,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1s62CbHdaww_YD_U9KFI5XuigK7NDgn3j/view?usp=drive_link,https://drive.google.com/file/d/1OHnf1AMzs2Qb3EAA89IRWEo9aPJphbCL/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_tennis_court_a.npy,-2.1,110,9,No,max,1,Falkland Palace Royal Tennis Court,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_tennis_court_b,Tennis Court B,Tennis-Court-B,tennis_court_b,1400,1273,0,Yes,est_bin,1.0.1,https://drive.google.com/file/d/1_sr9shYk78M-WtMMKCWU2NWisFTKWumu/view?usp=drive_link,https://drive.google.com/file/d/14JDt4wvjaAFZS4SNL7ZHQKl-dKaFNcp3/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_tennis_court_b.npy,-2.1,100,9,No,max,1,Falkland Palace Royal Tennis Court,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
reverberation_dataset_theatre_a,Theatre,Theatre,theatre_a,900,959,0,Yes,est_bin,1.0.6,https://drive.google.com/file/d/1lbl6x33uZZSt1LXBC1xBTyb5kK_G0O_r/view?usp=drive_link,https://drive.google.com/file/d/1f8eHLAm_LZp1nWni2LWSlD7poXsdqDBp/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_theatre_a.npy,-2.1,90,9,No,max,1,"Detmold Sommertheater (theater, ~300 seats).",,Open Database of Spatial Room Impulse Responses at Detmold University of Music,"Sebastia Vicenc Amengual Gari, Banu Sahin, Dusty Eddyand Malte Kob, ‘Open Database of Spatial Room Impulse Responses at Detmold University of Music’. Zenodo, Oct. 21, 2020. doi: 10.5281/zenodo.4116247.",https://doi.org/10.5281/zenodo.4116247,No,No,No
reverberation_dataset_tunnel_a,Tunnel,Tunnel,tunnel_a,1400,1404,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1pVegU8xa0-bZ8xR2UvlJe0yHDcRfC46i/view?usp=drive_link,https://drive.google.com/file/d/1BEJlhSFkAeZJrLxDBpMeEI1zw-TxLKfZ/view?usp=drive_link,https://raw.githubusercontent.com/ShanonPearce/ASH-Toolset/main/data/interim/reverberation/est_bin/reverberation_dataset_tunnel_a.npy,-2.1,100,9,No,max,1,Innocent Railway Tunnel,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,No,No,No
